station1_stop_id,station1_name,station2_stop_id,station2_name,walking_time,route,route_desc,station1_lat,station1_lon,station2_lat,station2_lon
8501045:0:1,Denges-Echandens,8501045:0:2,Denges-Echandens,25.22958256897605,WALKING,WALKING,46.5294331785944,6.54165766400874,46.5293960971047,6.54138816942347
8501045:0:1,Denges-Echandens,8588872,"Denges, Les Oches",482.5093735856839,WALKING,WALKING,46.5294331785944,6.54165766400874,46.5258176142602,6.54174749553716
8501045:0:1,Denges-Echandens,8588874,"Echandens, poste",105.12254899827256,WALKING,WALKING,46.5294331785944,6.54165766400874,46.5301315419212,6.54112765799103
8501045:0:1,Denges-Echandens,8595213,"Echandens, collège",398.90369690095474,WALKING,WALKING,46.5294331785944,6.54165766400874,46.5323996157431,6.54111867483819
8501045:0:1,Denges-Echandens,Parent8501045,Denges-Echandens,113.32356377810956,WALKING,WALKING,46.5294331785944,6.54165766400874,46.5291241654072,6.54050782044491
8501045:0:1,Denges-Echandens,Parent8588872,"Denges, Les Oches",482.5093735856839,WALKING,WALKING,46.5294331785944,6.54165766400874,46.5258176142602,6.54174749553716
8501045:0:1,Denges-Echandens,Parent8588874,"Echandens, poste",105.12254899827256,WALKING,WALKING,46.5294331785944,6.54165766400874,46.5301315419212,6.54112765799103
8501045:0:1,Denges-Echandens,Parent8595213,"Echandens, collège",398.90369690095474,WALKING,WALKING,46.5294331785944,6.54165766400874,46.5323996157431,6.54111867483819
8501045:0:2,Denges-Echandens,8501045:0:1,Denges-Echandens,25.22958256897605,WALKING,WALKING,46.5293960971047,6.54138816942347,46.5294331785944,6.54165766400874
8501045:0:2,Denges-Echandens,8588872,"Denges, Les Oches",478.62906574067847,WALKING,WALKING,46.5293960971047,6.54138816942347,46.5258176142602,6.54174749553716
8501045:0:2,Denges-Echandens,8588874,"Echandens, poste",101.00524565939244,WALKING,WALKING,46.5293960971047,6.54138816942347,46.5301315419212,6.54112765799103
8501045:0:2,Denges-Echandens,8595213,"Echandens, collège",401.53406395297037,WALKING,WALKING,46.5293960971047,6.54138816942347,46.5323996157431,6.54111867483819
8501045:0:2,Denges-Echandens,Parent8501045,Denges-Echandens,88.5882822003547,WALKING,WALKING,46.5293960971047,6.54138816942347,46.5291241654072,6.54050782044491
8501045:0:2,Denges-Echandens,Parent8588872,"Denges, Les Oches",478.62906574067847,WALKING,WALKING,46.5293960971047,6.54138816942347,46.5258176142602,6.54174749553716
8501045:0:2,Denges-Echandens,Parent8588874,"Echandens, poste",101.00524565939244,WALKING,WALKING,46.5293960971047,6.54138816942347,46.5301315419212,6.54112765799103
8501045:0:2,Denges-Echandens,Parent8595213,"Echandens, collège",401.53406395297037,WALKING,WALKING,46.5293960971047,6.54138816942347,46.5323996157431,6.54111867483819
8501047:0:1,Morges-St-Jean,8501047:0:2,Morges-St-Jean,38.90666789128738,WALKING,WALKING,46.5185981265753,6.5093542463873,46.5184930413323,6.50895898766224
8501047:0:1,Morges-St-Jean,8570090,"Morges, Les Pétoleyres",512.7845426527348,WALKING,WALKING,46.5185981265753,6.5093542463873,46.5201743808326,6.50426079872564
8501047:0:1,Morges-St-Jean,8588871,"Morges, St-Jean nord",183.95122957503813,WALKING,WALKING,46.5185981265753,6.5093542463873,46.5186166710089,6.50735100330344
8501047:0:1,Morges-St-Jean,8592251,"Lonay, Grassiaz",563.4880522766836,WALKING,WALKING,46.5185981265753,6.5093542463873,46.5220349201507,6.51292055806575
8501047:0:1,Morges-St-Jean,8592252,"Lonay, Gracieuse",196.83895840013048,WALKING,WALKING,46.5185981265753,6.5093542463873,46.5200631173261,6.50960577466689
8501047:0:1,Morges-St-Jean,8592259,"Morges, Bief",331.4759495420833,WALKING,WALKING,46.5185981265753,6.5093542463873,46.5171454596148,6.51228275421394
8501047:0:1,Morges-St-Jean,8592272,"Morges, St-Jean sud",244.63624487887643,WALKING,WALKING,46.5185981265753,6.5093542463873,46.5167869230705,6.50894102135655
8501047:0:1,Morges-St-Jean,8592274,"Morges, Auguste-Forel",557.3633044221174,WALKING,WALKING,46.5185981265753,6.5093542463873,46.5175472649998,6.50347926442834
8501047:0:1,Morges-St-Jean,Parent8501047,Morges-St-Jean,131.81934959201942,WALKING,WALKING,46.5185981265753,6.5093542463873,46.518196328961,6.50804270607231
8501047:0:1,Morges-St-Jean,Parent8570090,"Morges, Les Pétoleyres",512.7845426527348,WALKING,WALKING,46.5185981265753,6.5093542463873,46.5201743808326,6.50426079872564
8501047:0:1,Morges-St-Jean,Parent8588871,"Morges, St-Jean nord",183.95122957503813,WALKING,WALKING,46.5185981265753,6.5093542463873,46.5186166710089,6.50735100330344
8501047:0:1,Morges-St-Jean,Parent8592251,"Lonay, Grassiaz",563.4880522766836,WALKING,WALKING,46.5185981265753,6.5093542463873,46.5220349201507,6.51292055806575
8501047:0:1,Morges-St-Jean,Parent8592252,"Lonay, Gracieuse",196.83895840013048,WALKING,WALKING,46.5185981265753,6.5093542463873,46.5200631173261,6.50960577466689
8501047:0:1,Morges-St-Jean,Parent8592259,"Morges, Bief",331.4759495420833,WALKING,WALKING,46.5185981265753,6.5093542463873,46.5171454596148,6.51228275421394
8501047:0:1,Morges-St-Jean,Parent8592272,"Morges, St-Jean sud",244.63624487887643,WALKING,WALKING,46.5185981265753,6.5093542463873,46.5167869230705,6.50894102135655
8501047:0:1,Morges-St-Jean,Parent8592274,"Morges, Auguste-Forel",557.3633044221174,WALKING,WALKING,46.5185981265753,6.5093542463873,46.5175472649998,6.50347926442834
